Time (s),Channel 1 (V),Channel 2 (V)
-0.0002385000000000009,-0.8432206871985105,-0.6502862772222207
-0.0002360000000000001,-0.8412317346035896,-0.6429044094694732
-0.0002334999999999993,-0.8395742741078216,-0.6355225417167228
-0.0002310000000000003,-0.8382483057112082,-0.6288117528505919
-0.0002284999999999995,-0.8365908452154408,-0.6224365034277646
-0.0002260000000000005,-0.8355963689179804,-0.6180744906647775
-0.0002234999999999997,-0.8336074163230595,-0.6100215440254168
-0.0002210000000000007,-0.8322814479264461,-0.6036462946025923
-0.0002184999999999999,-0.8309554795298316,-0.596264426849842
-0.0002159999999999992,-0.8289665269349099,-0.5902247168703179
-0.0002135000000000001,-0.8273090664391433,-0.5825073096742673
-0.0002109999999999994,-0.8256516059433755,-0.5771386785813574
-0.0002085000000000004,-0.8249886217450688,-0.5710989686018396
-0.0002059999999999996,-0.8226681770509944,-0.5637171008490922
-0.0002035000000000006,-0.821673700753534,-0.5563352330963448
-0.0002009999999999998,-0.8200162402577665,-0.5502955231168242
-0.0001985000000000008,-0.8180272876628465,-0.5429136553640802
-0.000196,-0.8160383350679247,-0.5365384059412496
-0.0001934999999999992,-0.8150438587704635,-0.5315053142916457
-0.0001910000000000002,-0.8133863982746968,-0.5241234465389016
-0.0001884999999999994,-0.8117289377789285,-0.5174126576727643
-0.0001860000000000004,-0.8097399851840085,-0.5100307899200203
-0.0001834999999999996,-0.8084140167873946,-0.5029844616105796
-0.0001810000000000006,-0.8060935720933212,-0.4962736727444487
-0.0001784999999999998,-0.8054305878950132,-0.4905695022082318
-0.0001760000000000008,-0.8034416353000932,-0.4845297922287139
-0.0001735,-0.8014526827051713,-0.4768123850326571
-0.0001709999999999993,-0.7994637301102496,-0.4704371356098265
-0.0001685000000000002,-0.797806269614483,-0.4630552678570825
-0.0001659999999999995,-0.795817317019562,-0.455673400104335
-0.0001635000000000005,-0.7941598565237946,-0.4486270717948944
-0.0001609999999999997,-0.7928338881271807,-0.4435939801452939
-0.0001585000000000007,-0.7915079197305673,-0.4378898096090826
-0.0001559999999999999,-0.7891874750364923,-0.4288302446397991
-0.0001535000000000009,-0.7875300145407257,-0.4221194557736682
-0.0001510000000000001,-0.7858725540449575,-0.4160797457941445
-0.0001484999999999993,-0.7835521093508823,-0.4086978780413942
-0.0001460000000000003,-0.7818946488551156,-0.4023226286185699
