X--Trace 1::[V(v_out)],Y--Trace 1::[V(v_out)]
1,2.34497E-06
1.258925412,3.71653E-06
1.584893192,5.8903E-06
1.995262315,9.33549E-06
2.511886432,1.47958E-05
3.16227766,2.34497E-05
3.981071706,3.71652E-05
5.011872336,5.89027E-05
6.309573445,9.33542E-05
7.943282347,0.000147956
10,0.000234492
12.58925412,0.00037164
15.84893192,0.000588999
19.95262315,0.000933471
25.11886432,0.001479377
31.6227766,0.002344467
39.81071706,0.003715253
50.11872336,0.005887058
63.09573445,0.009327203
79.43282347,0.014774347
100,0.023393602
125.8925412,0.037015266
158.4893192,0.058490508
199.5262315,0.092180151
251.1886432,0.14447861
316.227766,0.223833321
398.1071706,0.338480187
501.1872336,0.48849106
630.9573445,0.653401944
794.3282347,0.795569631
1000,0.890953763
1258.925412,0.944168524
1584.893192,0.971205299
1995.262315,0.984629839
2511.886432,0.991418127
3162.27766,0.994981209
3981.071706,0.996931894
5011.872336,0.998041874
6309.573445,0.998693556
7943.282347,0.999085191
10000,0.999324408
12589.25412,0.999472075
15848.93192,0.999563752
19952.62315,0.999620699
25118.86432,0.999655794
31622.7766,0.999676843
39810.71706,0.999688483
