X--Trace 1::[V(v_out)],Y--Trace 1::[V(v_out)]
1,0.999965398
1.258925412,0.999963767
1.584893192,0.999961182
1.995262315,0.999957085
2.511886432,0.999950591
3.16227766,0.999940299
3.981071706,0.999923989
5.011872336,0.99989814
6.309573445,0.999857175
7.943282347,0.999792258
10,0.999689391
12.58925412,0.999526408
15.84893192,0.999268222
19.95262315,0.998859337
25.11886432,0.998212083
31.6227766,0.997188222
39.81071706,0.995570431
50.11872336,0.993018682
63.09573445,0.989004953
79.43282347,0.982719048
100,0.972941248
125.8925412,0.95789025
158.4893192,0.935088674
199.5262315,0.901356248
251.1886432,0.853136148
316.227766,0.787402485
398.1071706,0.703191819
501.1872336,0.603204676
630.9573445,0.494307916
794.3282347,0.386053795
1000,0.287723417
1258.925412,0.205586103
1584.893192,0.141811378
1995.262315,0.095168661
2511.886432,0.062589171
3162.27766,0.040582422
3981.071706,0.026060576
5011.872336,0.016627915
6309.573445,0.010564697
7943.282347,0.006694498
10000,0.004237174
