X--Trace 1::[(V(PR3)-V(PR2))],Y--Trace 1::[(V(PR3)-V(PR2))],,X--Trace 2::[-I(Rd:2) | I(PR1)],Y--Trace 2::[-I(Rd:2) | I(PR1)],,X--Trace 3::[V(1) | V(PR3)],Y--Trace 3::[V(1) | V(PR3)]
-7,-0.16516278,,-7,-0.001816671,,-7,-5.183329485
-6.99,-0.164787389,,-6.99,-0.001807141,,-6.99,-5.1828588
-6.98,-0.164409786,,-6.98,-0.001797614,,-6.98,-5.182385927
-6.97,-0.164031618,,-6.97,-0.001788088,,-6.97,-5.181912493
-6.96,-0.163652325,,-6.96,-0.001778562,,-6.96,-5.181437945
-6.95,-0.163271897,,-6.95,-0.001769038,,-6.95,-5.180962274
-6.94,-0.162890326,,-6.94,-0.001759515,,-6.94,-5.180485471
-6.93,-0.162507602,,-6.93,-0.001749992,,-6.93,-5.180007527
-6.92,-0.162123718,,-6.92,-0.001740472,,-6.92,-5.179528433
-6.91,-0.161738662,,-6.91,-0.001730952,,-6.91,-5.17904818
-6.9,-0.161352427,,-6.9,-0.001721433,,-6.9,-5.178566759
-6.89,-0.160965003,,-6.89,-0.001711916,,-6.89,-5.178084161
-6.88,-0.160576379,,-6.88,-0.0017024,,-6.88,-5.177600375
-6.87,-0.160186547,,-6.87,-0.001692885,,-6.87,-5.177115393
-6.86,-0.159795496,,-6.86,-0.001683371,,-6.86,-5.176629204
-6.85,-0.159403217,,-6.85,-0.001673858,,-6.85,-5.176141799
-6.84,-0.159009699,,-6.84,-0.001664347,,-6.84,-5.175653167
-6.83,-0.158614932,,-6.83,-0.001654837,,-6.83,-5.175163299
-6.82,-0.158218906,,-6.82,-0.001645328,,-6.82,-5.174672184
-6.81,-0.157821609,,-6.81,-0.00163582,,-6.81,-5.174179811
-6.8,-0.157423033,,-6.8,-0.001626314,,-6.8,-5.173686171
-6.79,-0.157023164,,-6.79,-0.001616809,,-6.79,-5.173191251
-6.78,-0.156621993,,-6.78,-0.001607305,,-6.78,-5.172695043
-6.77,-0.156219509,,-6.77,-0.001597802,,-6.77,-5.172197534
-6.76,-0.1558157,,-6.76,-0.001588301,,-6.76,-5.171698713
-6.75,-0.155410554,,-6.75,-0.001578801,,-6.75,-5.171198568
-6.74,-0.155004061,,-6.74,-0.001569303,,-6.74,-5.170697089
-6.73,-0.154596207,,-6.73,-0.001559806,,-6.73,-5.170194264
-6.72,-0.154186982,,-6.72,-0.00155031,,-6.72,-5.169690081
-6.71,-0.153776372,,-6.71,-0.001540815,,-6.71,-5.169184527
-6.7,-0.153364367,,-6.7,-0.001531322,,-6.7,-5.168677591
-6.69,-0.152950953,,-6.69,-0.001521831,,-6.69,-5.16816926
-6.68,-0.152536117,,-6.68,-0.00151234,,-6.68,-5.167659521
-6.67,-0.152119847,,-6.67,-0.001502852,,-6.67,-5.167148363
-6.66,-0.151702129,,-6.66,-0.001493364,,-6.66,-5.166635771
-6.65,-0.15128295,,-6.65,-0.001483878,,-6.65,-5.166121733
-6.64,-0.150862298,,-6.64,-0.001474394,,-6.64,-5.165606235
-6.63,-0.150440157,,-6.63,-0.001464911,,-6.63,-5.165089264
-6.62,-0.150016515,,-6.62,-0.001455429,,-6.62,-5.164570806
-6.61,-0.149591356,,-6.61,-0.001445949,,-6.61,-5.164050848
-6.6,-0.149164668,,-6.6,-0.001436471,,-6.6,-5.163529374
-6.59,-0.148736434,,-6.59,-0.001426994,,-6.59,-5.163006371
-6.58,-0.148306641,,-6.58,-0.001417518,,-6.58,-5.162481823
-6.57,-0.147875274,,-6.57,-0.001408044,,-6.57,-5.161955716
-6.56,-0.147442316,,-6.56,-0.001398572,,-6.56,-5.161428036
-6.55,-0.147007753,,-6.55,-0.001389101,,-6.55,-5.160898765
-6.54,-0.146571569,,-6.54,-0.001379632,,-6.54,-5.16036789
-6.53,-0.146133748,,-6.53,-0.001370165,,-6.53,-5.159835394
-6.52,-0.145694273,,-6.52,-0.001360699,,-6.52,-5.15930126
-6.51,-0.145253128,,-6.51,-0.001351235,,-6.51,-5.158765473
-6.5,-0.144810297,,-6.5,-0.001341772,,-6.5,-5.158228016
-6.49,-0.144365761,,-6.49,-0.001332311,,-6.49,-5.157688872
-6.48,-0.143919504,,-6.48,-0.001322852,,-6.48,-5.157148024
-6.47,-0.143471508,,-6.47,-0.001313395,,-6.47,-5.156605454
-6.46,-0.143021755,,-6.46,-0.001303939,,-6.46,-5.156061144
-6.45,-0.142570227,,-6.45,-0.001294485,,-6.45,-5.155515076
-6.44,-0.142116905,,-6.44,-0.001285033,,-6.44,-5.154967232
-6.43,-0.141661769,,-6.43,-0.001275582,,-6.43,-5.154417593
-6.42,-0.141204802,,-6.42,-0.001266134,,-6.42,-5.15386614
-6.41,-0.140745983,,-6.41,-0.001256687,,-6.41,-5.153312854
-6.4,-0.140285292,,-6.4,-0.001247242,,-6.4,-5.152757715
-6.39,-0.139822709,,-6.39,-0.001237799,,-6.39,-5.152200702
-6.38,-0.139358213,,-6.38,-0.001228358,,-6.38,-5.151641795
-6.37,-0.138891784,,-6.37,-0.001218919,,-6.37,-5.151080974
-6.36,-0.138423399,,-6.36,-0.001209482,,-6.36,-5.150518217
-6.35,-0.137953037,,-6.35,-0.001200046,,-6.35,-5.149953502
-6.34,-0.137480676,,-6.34,-0.001190613,,-6.34,-5.149386807
-6.33,-0.137006292,,-6.33,-0.001181182,,-6.33,-5.148818111
-6.32,-0.136529863,,-6.32,-0.001171753,,-6.32,-5.148247389
-6.31,-0.136051366,,-6.31,-0.001162325,,-6.31,-5.14767462
-6.3,-0.135570776,,-6.3,-0.0011529,,-6.3,-5.147099778
-6.29,-0.135088069,,-6.29,-0.001143477,,-6.29,-5.14652284
-6.28,-0.134603219,,-6.28,-0.001134056,,-6.28,-5.145943781
-6.27,-0.134116203,,-6.27,-0.001124637,,-6.27,-5.145362577
-6.26,-0.133626992,,-6.26,-0.001115221,,-6.26,-5.1447792
-6.25,-0.133135562,,-6.25,-0.001105806,,-6.25,-5.144193626
-6.24,-0.132641885,,-6.24,-0.001096394,,-6.24,-5.143605827
-6.23,-0.132145934,,-6.23,-0.001086984,,-6.23,-5.143015776
-6.22,-0.13164768,,-6.22,-0.001077577,,-6.22,-5.142423445
-6.21,-0.131147095,,-6.21,-0.001068171,,-6.21,-5.141828807
-6.2,-0.13064415,,-6.2,-0.001058768,,-6.2,-5.141231831
-6.19,-0.130138814,,-6.19,-0.001049368,,-6.19,-5.140632489
-6.18,-0.129631058,,-6.18,-0.001039969,,-6.18,-5.140030751
-6.17,-0.12912085,,-6.17,-0.001030573,,-6.17,-5.139426584
-6.16,-0.128608159,,-6.16,-0.00102118,,-6.16,-5.138819959
-6.15,-0.128092951,,-6.15,-0.001011789,,-6.15,-5.138210842
-6.14,-0.127575194,,-6.14,-0.001002401,,-6.14,-5.137599202
-6.13,-0.127054853,,-6.13,-0.000993015,,-6.13,-5.136985003
-6.12,-0.126531895,,-6.12,-0.000983632,,-6.12,-5.136368213
-6.11,-0.126006283,,-6.11,-0.000974251,,-6.11,-5.135748795
-6.1,-0.125477982,,-6.1,-0.000964873,,-6.1,-5.135126714
-6.09,-0.124946953,,-6.09,-0.000955498,,-6.09,-5.134501934
-6.08,-0.12441316,,-6.08,-0.000946126,,-6.08,-5.133874416
-6.07,-0.123876563,,-6.07,-0.000936756,,-6.07,-5.133244122
-6.06,-0.123337123,,-6.06,-0.000927389,,-6.06,-5.132611013
-6.05,-0.122794799,,-6.05,-0.000918025,,-6.05,-5.131975048
-6.04,-0.122249549,,-6.04,-0.000908664,,-6.04,-5.131336187
-6.03,-0.121701331,,-6.03,-0.000899306,,-6.03,-5.130694387
-6.02,-0.1211501,,-6.02,-0.00088995,,-6.02,-5.130049604
-6.01,-0.120595813,,-6.01,-0.000880598,,-6.01,-5.129401795
-6,-0.120038423,,-6,-0.000871249,,-6,-5.128750914
-5.99,-0.119477883,,-5.99,-0.000861903,,-5.99,-5.128096914
-5.98,-0.118914145,,-5.98,-0.00085256,,-5.98,-5.127439748
-5.97,-0.11834716,,-5.97,-0.000843221,,-5.97,-5.126779366
-5.96,-0.117776876,,-5.96,-0.000833884,,-5.96,-5.126115719
-5.95,-0.117203242,,-5.95,-0.000824551,,-5.95,-5.125448754
-5.94,-0.116626204,,-5.94,-0.000815222,,-5.94,-5.12477842
-5.93,-0.116045707,,-5.93,-0.000805895,,-5.93,-5.124104661
-5.92,-0.115461696,,-5.92,-0.000796573,,-5.92,-5.123427421
-5.91,-0.114874111,,-5.91,-0.000787253,,-5.91,-5.122746644
-5.9,-0.114282893,,-5.9,-0.000777938,,-5.9,-5.12206227
-5.89,-0.113687982,,-5.89,-0.000768626,,-5.89,-5.121374239
-5.88,-0.113089314,,-5.88,-0.000759318,,-5.88,-5.120682489
-5.87,-0.112486825,,-5.87,-0.000750013,,-5.87,-5.119986956
-5.86,-0.111880441,,-5.86,-0.000740712,,-5.86,-5.119287566
-5.85,-0.111270021,,-5.85,-0.000731416,,-5.85,-5.118584179
-5.84,-0.110655472,,-5.84,-0.000722123,,-5.84,-5.117876705
-5.83,-0.110036721,,-5.83,-0.000712835,,-5.83,-5.11716507
-5.82,-0.10941369,,-5.82,-0.000703551,,-5.82,-5.116449198
-5.81,-0.108786302,,-5.81,-0.000694271,,-5.81,-5.115729011
-5.8,-0.108154474,,-5.8,-0.000684996,,-5.8,-5.115004429
-5.79,-0.107518122,,-5.79,-0.000675725,,-5.79,-5.114275368
-5.78,-0.10687716,,-5.78,-0.000666458,,-5.78,-5.113541743
-5.77,-0.106231499,,-5.77,-0.000657197,,-5.77,-5.112803464
-5.76,-0.105581046,,-5.76,-0.00064794,,-5.76,-5.112060441
-5.75,-0.104925705,,-5.75,-0.000638687,,-5.75,-5.111312579
-5.74,-0.104265378,,-5.74,-0.00062944,,-5.74,-5.11055978
-5.73,-0.103599963,,-5.73,-0.000620198,,-5.73,-5.109801943
-5.72,-0.102929354,,-5.72,-0.000610961,,-5.72,-5.109038964
-5.71,-0.102253442,,-5.71,-0.000601729,,-5.71,-5.108270734
-5.7,-0.101572113,,-5.7,-0.000592503,,-5.7,-5.107497141
-5.69,-0.100885251,,-5.69,-0.000583282,,-5.69,-5.10671807
-5.68,-0.100192734,,-5.68,-0.000574067,,-5.68,-5.1059334
-5.67,-0.099494436,,-5.67,-0.000564857,,-5.67,-5.105143006
-5.66,-0.098790226,,-5.66,-0.000555653,,-5.66,-5.104346758
-5.65,-0.098079968,,-5.65,-0.000546455,,-5.65,-5.103544523
-5.64,-0.097363521,,-5.64,-0.000537264,,-5.64,-5.10273616
-5.63,-0.096640739,,-5.63,-0.000528078,,-5.63,-5.101921524
-5.62,-0.095911469,,-5.62,-0.0005189,,-5.62,-5.101100464
-5.61,-0.095175551,,-5.61,-0.000509727,,-5.61,-5.100272823
-5.6,-0.094432822,,-5.6,-0.000500562,,-5.6,-5.099438437
-5.59,-0.093683108,,-5.59,-0.000491403,,-5.59,-5.098597136
-5.58,-0.092926229,,-5.58,-0.000482251,,-5.58,-5.097748741
-5.57,-0.092161998,,-5.57,-0.000473107,,-5.57,-5.096893067
-5.56,-0.09139022,,-5.56,-0.00046397,,-5.56,-5.09602992
-5.55,-0.090610689,,-5.55,-0.000454841,,-5.55,-5.095159097
-5.54,-0.08982319,,-5.54,-0.00044572,,-5.54,-5.094280386
-5.53,-0.089027501,,-5.53,-0.000436606,,-5.53,-5.093393565
-5.52,-0.088223386,,-5.52,-0.000427502,,-5.52,-5.092498402
-5.51,-0.087410598,,-5.51,-0.000418405,,-5.51,-5.091594651
-5.5,-0.086588879,,-5.5,-0.000409318,,-5.5,-5.090682058
-5.49,-0.085757957,,-5.49,-0.00040024,,-5.49,-5.089760353
-5.48,-0.084917545,,-5.48,-0.000391171,,-5.48,-5.088829253
-5.47,-0.084067344,,-5.47,-0.000382112,,-5.47,-5.087888459
-5.46,-0.083207036,,-5.46,-0.000373062,,-5.46,-5.086937659
-5.45,-0.082336286,,-5.45,-0.000364023,,-5.45,-5.08597652
-5.44,-0.08145474,,-5.44,-0.000354995,,-5.44,-5.085004693
-5.43,-0.080562024,,-5.43,-0.000345978,,-5.43,-5.084021806
-5.42,-0.079657742,,-5.42,-0.000336973,,-5.42,-5.083027468
-5.41,-0.078741475,,-5.41,-0.000327979,,-5.41,-5.082021262
-5.4,-0.077812774,,-5.4,-0.000318997,,-5.4,-5.081002747
-5.39,-0.076871167,,-5.39,-0.000310029,,-5.39,-5.079971452
-5.38,-0.075916147,,-5.38,-0.000301073,,-5.38,-5.078926878
-5.37,-0.074947174,,-5.37,-0.000292132,,-5.37,-5.077868489
-5.36,-0.073963672,,-5.36,-0.000283204,,-5.36,-5.076795715
-5.35,-0.072965024,,-5.35,-0.000274292,,-5.35,-5.075707944
-5.34,-0.071950565,,-5.34,-0.000265395,,-5.34,-5.07460452
-5.33,-0.070919585,,-5.33,-0.000256515,,-5.33,-5.073484737
-5.32,-0.069871315,,-5.32,-0.000247652,,-5.32,-5.072347837
-5.31,-0.068804927,,-5.31,-0.000238807,,-5.31,-5.071192996
-5.3,-0.067719522,,-5.3,-0.000229981,,-5.3,-5.070019328
