X--Trace 1::[V(v_o)],Y--Trace 1::[V(v_o)]
0.0001,5.47351E-23
0.000125893,1.09211E-22
0.000158489,2.17903E-22
0.000199526,4.34771E-22
0.000251189,8.67473E-22
0.000316228,1.73081E-21
0.000398107,3.45333E-21
0.000501187,6.89002E-21
0.000630957,1.37465E-20
0.000794328,2.74252E-20
0.001,5.47118E-20
0.001258925,1.09137E-19
0.001584893,2.17673E-19
0.001995262,4.34051E-19
0.002511886,8.65239E-19
0.003162278,1.72395E-18
0.003981072,3.43258E-18
0.005011872,6.82859E-18
0.006309573,1.35698E-17
0.007943282,2.69345E-17
0.01,5.3402E-17
0.012589254,1.05772E-16
0.015848932,2.09281E-16
0.019952623,4.13459E-16
0.025118864,8.14703E-16
0.031622777,1.59814E-15
0.039810717,3.11234E-15
0.050118723,5.99538E-15
0.063095734,1.13723E-14
0.079432823,2.11385E-14
0.1,3.83374E-14
0.125892541,6.76624E-14
0.158489319,1.16177E-13
0.199526231,1.94403E-13
0.251188643,3.17889E-13
0.316227766,5.09134E-13
0.398107171,7.99407E-13
0.501187234,1.22949E-12
0.630957344,1.84813E-12
0.794328235,2.7077E-12
1,3.85934E-12
1.258925412,5.35213E-12
1.584893192,7.2395E-12
1.995262315,9.59108E-12
2.511886432,1.25045E-11
3.16227766,1.61145E-11
3.981071706,2.05999E-11
5.011872336,2.61918E-11
6.309573445,3.31835E-11
7.943282347,4.19448E-11
10,5.29412E-11
12.58925412,6.67576E-11
15.84893192,8.41294E-11
19.95262315,1.05982E-10
25.11886432,1.33478E-10
31.6227766,1.68082E-10
39.81071706,2.11638E-10
50.11872336,2.66463E-10
63.09573445,3.35479E-10
79.43282347,4.22361E-10
100,5.31735E-10
125.8925412,6.69425E-10
158.4893192,8.42765E-10
199.5262315,1.06099E-09
251.1886432,1.33571E-09
316.227766,1.68156E-09
398.1071706,2.11696E-09
501.1872336,2.6651E-09
630.9573445,3.35516E-09
794.3282347,4.2239E-09
1000,5.31758E-09
1258.925412,6.69444E-09
1584.893192,8.4278E-09
1995.262315,1.061E-08
2511.886432,1.33572E-08
3162.27766,1.68157E-08
3981.071706,2.11697E-08
5011.872336,2.6651E-08
6309.573445,3.35516E-08
7943.282347,4.2239E-08
10000,5.31756E-08
12589.25412,6.6944E-08
15848.93192,8.42771E-08
19952.62315,1.06098E-07
25118.86432,1.33568E-07
31622.7766,1.6815E-07
39810.71706,2.11683E-07
50118.72336,2.66483E-07
63095.73445,3.35462E-07
79432.82347,4.2228E-07
100000,5.31538E-07
125892.5412,6.69005E-07
158489.3192,8.41905E-07
199526.2315,1.05925E-06
251188.6432,1.33224E-06
316227.766,1.67465E-06
398107.1706,2.10321E-06
501187.2336,2.63782E-06
630957.3445,3.3012E-06
794328.2347,4.11772E-06
1000000,5.11024E-06
1258925.412,6.2942E-06
1584893.192,7.66806E-06
1995262.315,9.20134E-06
2511886.432,1.08255E-05
3162277.66,1.24374E-05
3981071.706,1.39218E-05
5011872.336,1.51862E-05
6309573.445,1.61866E-05
7943282.347,1.69295E-05
10000000,1.7454E-05
12589254.12,1.78102E-05
15848931.92,1.80451E-05
19952623.15,1.81959E-05
25118864.32,1.82892E-05
31622776.6,1.83429E-05
39810717.06,1.83675E-05
50118723.36,1.83681E-05
63095734.45,1.83446E-05
79432823.47,1.82924E-05
100000000,1.82011E-05
